File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Tissue Type	Tumor Descriptor	Specimen Type	Preservation Method
a633b21d-43a5-4c59-a7f1-d40e6a0c5b3d	f085f2ef-b1a2-44e6-92eb-dc0c97ce3e7c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-DW-7838	TCGA-DW-7838-01A	Tumor	Primary	Solid Tissue	Unknown
1a70fc30-c323-464e-9d96-3cc86fb34e37	ee0c0e7a-05ec-404d-babd-5d51b71da9c1.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-BQ-5892	TCGA-BQ-5892-01A	Tumor	Primary	Solid Tissue	Unknown
e5cd7b52-d3c7-4681-87e5-5fab51e51715	8146225c-592c-4cca-b3ef-ebcca309a154.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-2Z-A9JS	TCGA-2Z-A9JS-01A	Tumor	Primary	Solid Tissue	OCT
22b1f2ca-5751-4df9-ab7a-a6d67bb8fa3f	b05ad932-30ff-4c88-9304-f581bf55cac0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-DW-7834	TCGA-DW-7834-01A	Tumor	Primary	Solid Tissue	Unknown
4dc48f0a-f6d1-47b8-8ade-f383de249f29	ff60bb1e-19b0-4c5a-b753-1beac14f1554.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-DW-7836	TCGA-DW-7836-01A	Tumor	Primary	Solid Tissue	Unknown
815fe2c4-9815-416b-b44f-9cd48c6aba89	be10ae89-8bc1-4ef3-aae2-8e49379d8649.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3516	TCGA-AA-3516-11A	Normal	Not Applicable	Solid Tissue	Unknown
228b425f-ddc8-46e4-b246-41f4389b7a97	cfbdbfeb-7550-46dc-bd3b-bf85c4a14443.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-G4-6625	TCGA-G4-6625-01A	Tumor	Primary	Solid Tissue	Unknown
54f615f0-aa45-43a1-8ad8-098868fab3c3	270a14bb-8ae5-4372-a66b-b3d71bf217f7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AD-6895	TCGA-AD-6895-01A	Tumor	Primary	Solid Tissue	Unknown
91a95c38-5ab7-4166-b4e7-64454cb3d06c	7b98348a-13f8-404a-9a1e-280ae481b6b0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3844	TCGA-AA-3844-01A	Tumor	Primary	Solid Tissue	Unknown
cba08218-0a7b-4425-8776-b240fac9b6cf	fd71e0e9-e77a-465b-b118-b1f9665d5797.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AR-A5QM	TCGA-AR-A5QM-01A	Tumor	Primary	Unknown	OCT
9cbb73a5-7b3b-4559-a295-d4693ae6dee2	c9c9c085-8e23-454c-aa36-cf59e8dbc587.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-BH-A0BQ	TCGA-BH-A0BQ-01A	Tumor	Primary	Unknown	OCT
270356b5-f258-49b3-a850-16ea88ec6c76	5c0aa745-6bad-4f9c-901b-5f0a0277b12d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A7-A13H	TCGA-A7-A13H-01A	Tumor	Primary	Solid Tissue	Unknown
9928c491-426a-4507-8ddd-999d6b892e29	677a334e-f2cb-455f-bf50-05e23cb2a7ec.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A7-A3J1	TCGA-A7-A3J1-01A	Tumor	Primary	Unknown	Unknown
1051db4c-40a5-4a98-a239-d96c986aa349	691c297b-b48d-4e65-84d4-cb4fcdf03fc0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-B6-A0I6	TCGA-B6-A0I6-01A	Tumor	Primary	Solid Tissue	OCT
54da1536-4b40-4b86-b346-f1c7db97ad9b	1fccaea9-1266-4b3c-a457-7eac409de325.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-MESO	TCGA-UD-AAC4	TCGA-UD-AAC4-01A	Tumor	Primary	Solid Tissue	OCT
3ec5342f-740b-452b-8e13-87d81a36060c	8dbf5d9d-67b7-4107-a596-6af42710b7b6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UVM	TCGA-WC-A87W	TCGA-WC-A87W-01A	Tumor	Primary	Solid Tissue	OCT
996fc9a8-2cdd-4f23-a716-218aaa69df94	72165763-bcce-4215-a93b-ba13cbe45e5c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-BB-A5HU	TCGA-BB-A5HU-01A	Tumor	Primary	Solid Tissue	Unknown
2f940d2e-7aca-4897-8a52-2eed03d5b002	1b4a799b-96e4-48da-b94c-486bc2a8ae91.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-6959	TCGA-CV-6959-11A	Normal	Not Applicable	Solid Tissue	Unknown
4af2ea24-60fe-4fc1-858b-68ed98855082	8f1c0479-48ac-46e7-a2c2-973a8a6c4747.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-LL-A5YM	TCGA-LL-A5YM-01A	Tumor	Primary	Solid Tissue	Unknown
9ade3932-9032-46d6-8171-c34a0dc51fce	8f1213be-da41-4cd6-97b2-f9fce1ea00ff.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3516	TCGA-AA-3516-01A	Tumor	Primary	Solid Tissue	Unknown
69add746-94ce-4b57-bf7a-f80bf10bdc01	46a6f49d-2ab8-41fb-ba8c-951a160e5d08.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AD-6964	TCGA-AD-6964-01A	Tumor	Primary	Solid Tissue	Unknown
962bc9cc-9173-4fb5-ac07-ae576e7eca76	da8c5a43-b0e1-4bef-a6f8-2da7c7be0474.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3522	TCGA-AA-3522-11A	Normal	Not Applicable	Solid Tissue	Unknown
